term,definition,category,difficulty,example,phonetic,etymology,syllables,stress
Helicase,An enzyme that unwinds the DNA double helix,Genomics,intermediate,Helicase activity is essential for DNA replication,ˈhiːlɪkeɪz,From helix + -ase,he-li-case,Primary stress on first
Topoisomerase,An enzyme that relieves DNA supercoiling,Genomics,advanced,Topoisomerases prevent tangling during replication,ˌtɒpəʊaɪˈsɒməreɪz,From topology + isomer + -ase,to-po-i-som-er-ase,Primary stress on fourth
Methylation,The addition of methyl groups to DNA,Epigenomics,intermediate,DNA methylation regulates gene expression,ˌmɛθɪˈleɪʃən,From methyl + -ation,meth-yl-a-tion,Primary stress on third
Acetylation,The addition of acetyl groups to histones,Epigenomics,intermediate,Histone acetylation activates transcription,əˌsiːtɪˈleɪʃən,From acetyl + -ation,a-cet-yl-a-tion,Primary stress on fourth
Chromatin,The complex of DNA and proteins in the nucleus,Epigenomics,intermediate,Chromatin structure affects gene accessibility,ˈkrəʊmətɪn,From Greek chroma (color),chro-ma-tin,Primary stress on first
Histone,A protein around which DNA wraps in eukaryotes,Epigenomics,intermediate,Histone modifications regulate chromatin structure,ˈhɪstəʊn,From Greek histos (tissue),his-tone,Primary stress on first
Nucleosome,The basic unit of chromatin packaging,Epigenomics,intermediate,Each nucleosome contains 147 base pairs of DNA,ˈnjuːklɪəsəʊm,From nucleus + -some (body),nu-cle-o-some,Primary stress on first
Transcription,The synthesis of RNA from a DNA template,Transcriptomics,beginner,Transcription is the first step of gene expression,trænˈskrɪpʃən,From transcribe + -ion,tran-scrip-tion,Primary stress on second
Translation,The synthesis of protein from mRNA,Proteomics,beginner,Translation occurs at ribosomes,trænzˈleɪʃən,From translate + -ion,trans-la-tion,Primary stress on second
Ribosome,A cellular structure that synthesizes proteins,Proteomics,beginner,Ribosomes read mRNA codons to build proteins,ˈraɪbəsəʊm,From ribose + -some,ri-bo-some,Primary stress on first
Messenger RNA,RNA carrying genetic information from DNA to ribosomes,Transcriptomics,beginner,mRNA is translated into protein,ˈmɛsɪndʒə ɑːr en eɪ,From messenger + RNA,mes-sen-ger R-N-A,Primary stress on first word
Transfer RNA,RNA that delivers amino acids during translation,Transcriptomics,intermediate,tRNA molecules have anticodons complementary to mRNA,ˈtrænsfɜː ɑːr en eɪ,From transfer + RNA,trans-fer R-N-A,Primary stress on first word
Ribosomal RNA,RNA component of ribosomes,Transcriptomics,intermediate,rRNA makes up the catalytic core of ribosomes,ˌraɪbəˈsəʊməl ɑːr en eɪ,From ribosome + -al + RNA,ri-bo-som-al R-N-A,Primary stress on third
MicroRNA,Small regulatory RNA molecules,Transcriptomics,intermediate,MicroRNAs regulate gene expression post-transcriptionally,ˈmaɪkrəʊ ɑːr en eɪ,From micro + RNA,mi-cro R-N-A,Primary stress on first word
Long non-coding RNA,RNA transcripts over 200 nucleotides that don't code for proteins,Transcriptomics,advanced,LncRNAs have diverse regulatory functions,lɒŋ nɒn ˈkəʊdɪŋ ɑːr en eɪ,From long non-coding + RNA,long non-cod-ing R-N-A,Primary stress on third word
Splicing,The removal of introns from pre-mRNA,Transcriptomics,intermediate,Alternative splicing generates protein diversity,ˈsplaɪsɪŋ,From splice + -ing,splic-ing,Primary stress on first
Polyadenylation,Addition of adenine nucleotides to mRNA,Transcriptomics,advanced,Polyadenylation protects mRNA from degradation,ˌpɒliəˌdɛnɪˈleɪʃən,From poly- + adenyl + -ation,pol-y-ad-en-yl-a-tion,Primary stress on fifth
Capping,Addition of a modified guanine to mRNA 5' end,Transcriptomics,intermediate,5' capping stabilizes mRNA and aids translation,ˈkæpɪŋ,From cap + -ing,cap-ping,Primary stress on first
Degradation,The breakdown of biomolecules,Transcriptomics,intermediate,RNA degradation regulates gene expression levels,ˌdɛɡrəˈdeɪʃən,From degrade + -ation,deg-ra-da-tion,Primary stress on third
Half-life,The time required for half of a molecule to degrade,Transcriptomics,intermediate,mRNA half-life varies from minutes to hours,hɑːf laɪf,From half + life,half-life,Primary stress on second
Turnover,The rate of molecule synthesis and degradation,Metabolomics,intermediate,Protein turnover maintains cellular homeostasis,ˈtɜːnəʊvə,From turn + over,turn-o-ver,Primary stress on first
Pathway,A series of biochemical reactions,Metabolomics,beginner,Metabolic pathways convert substrates to products,ˈpɑːθweɪ,From path + way,path-way,Primary stress on first
Metabolism,The sum of chemical reactions in an organism,Metabolomics,beginner,Metabolism includes anabolism and catabolism,məˈtæbəlɪzəm,From Greek metabole (change),me-tab-o-lism,Primary stress on second
Anabolism,Biosynthetic pathways building complex molecules,Metabolomics,intermediate,Anabolism requires energy input,əˈnæbəlɪzəm,From Greek ana (up) + ballein (to throw),a-nab-o-lism,Primary stress on second
Catabolism,Degradative pathways breaking down molecules,Metabolomics,intermediate,Catabolism releases energy,kəˈtæbəlɪzəm,From Greek kata (down) + ballein (to throw),ca-tab-o-lism,Primary stress on second
Enzyme,A biological catalyst,Metabolomics,beginner,Enzymes accelerate biochemical reactions,ˈɛnzaɪm,From Greek en (in) + zyme (leaven),en-zyme,Primary stress on first
Substrate,The molecule upon which an enzyme acts,Metabolomics,beginner,Substrate specificity determines enzyme function,ˈsʌbstreɪt,From Latin substratum (spread under),sub-strate,Primary stress on first
Product,The molecule resulting from an enzymatic reaction,Metabolomics,beginner,Reaction products may become substrates for other enzymes,ˈprɒdʌkt,From Latin productus (brought forth),prod-uct,Primary stress on first
Cofactor,A non-protein molecule required for enzyme activity,Metabolomics,intermediate,Metal ions often serve as cofactors,ˈkəʊfæktə,From co- (together) + factor,co-fac-tor,Primary stress on first
Coenzyme,An organic cofactor,Metabolomics,intermediate,Vitamins often function as coenzymes,kəʊˈɛnzaɪm,From co- + enzyme,co-en-zyme,Primary stress on second
Prosthetic group,A tightly bound cofactor,Metabolomics,advanced,Heme is a prosthetic group in hemoglobin,prɒsˈθɛtɪk ɡruːp,From Greek prosthesis (addition),pros-thet-ic group,Primary stress on second word
Catalyst,A substance that increases reaction rate,Metabolomics,beginner,Enzymes are biological catalysts,ˈkætəlɪst,From Greek katalysis (dissolution),cat-a-lyst,Primary stress on first
Inhibitor,A molecule that decreases enzyme activity,Metabolomics,intermediate,Competitive inhibitors compete with substrate binding,ɪnˈhɪbɪtə,From inhibit + -or,in-hib-i-tor,Primary stress on second
Activator,A molecule that increases enzyme activity,Metabolomics,intermediate,Allosteric activators enhance enzyme function,ˈæktɪveɪtə,From activate + -or,ac-ti-va-tor,Primary stress on first
Phosphorylation,Addition of phosphate groups to molecules,Proteomics,intermediate,Protein phosphorylation regulates cellular signaling,ˌfɒsfərɪˈleɪʃən,From phosphoryl + -ation,phos-phor-yl-a-tion,Primary stress on fourth
Glycosylation,Addition of carbohydrate groups to proteins,Proteomics,advanced,Glycosylation affects protein folding and function,ˌɡlaɪkəsɪˈleɪʃən,From glycosyl + -ation,gly-co-syl-a-tion,Primary stress on fourth
Ubiquitination,Attachment of ubiquitin proteins,Proteomics,advanced,Ubiquitination targets proteins for degradation,juːˌbɪkwɪtɪˈneɪʃən,From ubiquitin + -ation,u-biq-ui-tin-a-tion,Primary stress on fifth
Post-translational,Modifications occurring after protein synthesis,Proteomics,intermediate,Post-translational modifications diversify protein function,pəʊst trænzˈleɪʃənəl,From post + translational,post-trans-la-tion-al,Primary stress on fourth
Proteolysis,The breakdown of proteins by enzymes,Proteomics,intermediate,Proteolysis is involved in protein turnover,ˌprəʊtiˈɒlɪsɪs,From protein + -lysis (breaking),pro-te-ol-y-sis,Primary stress on third
Protease,An enzyme that cleaves peptide bonds,Proteomics,intermediate,Proteases regulate many biological processes,ˈprəʊtɪeɪz,From protein + -ase,pro-te-ase,Primary stress on first
Kinase,An enzyme that adds phosphate groups,Proteomics,intermediate,Protein kinases are key signaling molecules,ˈkaɪneɪz,From kinetic + -ase,ki-nase,Primary stress on first
Phosphatase,An enzyme that removes phosphate groups,Proteomics,intermediate,Phosphatases reverse kinase activity,ˈfɒsfəteɪz,From phosphate + -ase,phos-pha-tase,Primary stress on first
Peptide,A short chain of amino acids,Proteomics,beginner,Peptides are building blocks of proteins,ˈpɛptaɪd,From Greek peptos (digested),pep-tide,Primary stress on first
Polypeptide,A long chain of amino acids,Proteomics,intermediate,Polypeptides fold into functional proteins,ˌpɒliˈpɛptaɪd,From poly- + peptide,pol-y-pep-tide,Primary stress on third
Domain,A distinct functional unit within a protein,Proteomics,intermediate,Protein domains can function independently,dəʊˈmeɪn,From Latin dominium (property),do-main,Primary stress on second
Motif,A short conserved sequence pattern,Proteomics,intermediate,Sequence motifs often indicate function,məʊˈtiːf,From French motif (pattern),mo-tif,Primary stress on second
Conformation,The three-dimensional structure of a molecule,Proteomics,intermediate,Protein conformation determines function,ˌkɒnfɔːˈmeɪʃən,From Latin conformare (to shape),con-for-ma-tion,Primary stress on third
Denaturation,The loss of protein structure,Proteomics,intermediate,Heat causes protein denaturation,diːˌneɪtʃəˈreɪʃən,From de- (reverse) + nature + -ation,de-na-tur-a-tion,Primary stress on fourth
Folding,The process by which proteins attain structure,Proteomics,intermediate,Chaperones assist in protein folding,ˈfəʊldɪŋ,From fold + -ing,fold-ing,Primary stress on first
Chaperone,A protein assisting in folding of other proteins,Proteomics,advanced,Molecular chaperones prevent misfolding,ˈʃæpərəʊn,From French chaperon (protector),chap-er-one,Primary stress on first
Aggregation,The clumping of misfolded proteins,Proteomics,intermediate,Protein aggregation causes neurodegenerative diseases,ˌæɡrɪˈɡeɪʃən,From aggregate + -ion,ag-gre-ga-tion,Primary stress on third
Crystallography,The study of molecular structure using crystals,Proteomics,advanced,X-ray crystallography reveals protein structure,ˌkrɪstəˈlɒɡrəfi,From crystal + -graphy,crys-tal-log-ra-phy,Primary stress on third
Spectroscopy,Analysis using light-matter interactions,Proteomics,advanced,Mass spectroscopy identifies proteins,spɛkˈtrɒskəpi,From spectrum + -scopy,spec-tros-co-py,Primary stress on second
Chromatography,Separation technique based on molecular properties,Proteomics,intermediate,Liquid chromatography separates complex mixtures,ˌkrəʊməˈtɒɡrəfi,From Greek chroma (color) + -graphy,chro-ma-tog-ra-phy,Primary stress on third
Electrophoresis,Separation of molecules in an electric field,Proteomics,intermediate,Gel electrophoresis separates DNA by size,ɪˌlɛktrəʊfəˈriːsɪs,From electro- + Greek phoresis (carrying),e-lec-tro-pho-re-sis,Primary stress on fourth
Blotting,Transfer of molecules to a membrane for analysis,Proteomics,intermediate,Western blotting detects specific proteins,ˈblɒtɪŋ,From blot + -ing,blot-ting,Primary stress on first
Immunoprecipitation,Isolation of proteins using antibodies,Proteomics,advanced,Immunoprecipitation enriches target proteins,ˌɪmjʊnəʊprɪˌsɪpɪˈteɪʃən,From immuno- + precipitation,im-mu-no-pre-cip-i-ta-tion,Primary stress on sixth
Antibody,A protein that recognizes and binds antigens,Proteomics,beginner,Antibodies are used in many proteomics methods,ˈæntɪbɒdi,From anti- (against) + body,an-ti-bod-y,Primary stress on first
Antigen,A molecule that triggers an immune response,Proteomics,beginner,Proteins can serve as antigens,ˈæntɪdʒən,From anti- + Greek -gen (producer),an-ti-gen,Primary stress on first
Epitope,The specific region of an antigen recognized by antibodies,Proteomics,intermediate,Linear epitopes are continuous amino acid sequences,ˈɛpɪtəʊp,From Greek epi (upon) + topos (place),ep-i-tope,Primary stress on first
Affinity,The strength of molecular binding,Proteomics,intermediate,High-affinity antibodies bind tightly to antigens,əˈfɪnɪti,From Latin affinis (related),af-fin-i-ty,Primary stress on second
Specificity,The selectivity of molecular recognition,Proteomics,intermediate,Antibody specificity ensures accurate detection,ˌspɛsɪˈfɪsɪti,From specific + -ity,spec-i-fic-i-ty,Primary stress on third
Sensitivity,The ability to detect small amounts,Proteomics,intermediate,High sensitivity methods detect low-abundance proteins,ˌsɛnsɪˈtɪvɪti,From sensitive + -ity,sen-si-tiv-i-ty,Primary stress on third
Throughput,The rate of sample processing,Genomics,intermediate,High-throughput sequencing analyzes millions of reads,ˈθruːpʊt,From through + put,through-put,Primary stress on first
Multiplexing,Simultaneous analysis of multiple samples or targets,Genomics,advanced,Multiplexing increases experimental efficiency,ˈmʌltɪplɛksɪŋ,From multiplex + -ing,mul-ti-plex-ing,Primary stress on first
Normalization,Adjustment for technical variation,Genomics,intermediate,Expression normalization enables sample comparison,ˌnɔːməlaɪˈzeɪʃən,From normal + -ization,nor-mal-i-za-tion,Primary stress on fourth
Batch effect,Technical variation between experimental batches,Genomics,intermediate,Batch effects confound biological differences,bætʃ ɪˈfɛkt,From batch + effect,batch ef-fect,Primary stress on second word
Replication,Repetition of experiments,Genomics,beginner,Biological replication confirms reproducibility,ˌrɛplɪˈkeɪʃən,From replicate + -ion,rep-li-ca-tion,Primary stress on third
Control,A standard for comparison in experiments,Genomics,beginner,Negative controls verify specificity,kənˈtrəʊl,From Medieval Latin contrarotulus,con-trol,Primary stress on second
Validation,Confirmation of results using independent methods,Genomics,intermediate,qPCR validates RNA-seq findings,ˌvælɪˈdeɪʃən,From valid + -ation,val-i-da-tion,Primary stress on third
Reproducibility,The ability to obtain consistent results,Genomics,intermediate,Reproducibility is essential for scientific rigor,rɪˌprɒdjʊsəˈbɪlɪti,From reproducible + -ity,re-pro-duc-i-bil-i-ty,Primary stress on sixth
Contamination,The presence of unwanted material in samples,Genomics,intermediate,DNA contamination can compromise results,kənˌtæmɪˈneɪʃən,From contaminate + -ion,con-tam-i-na-tion,Primary stress on fourth
Quality control,Procedures ensuring data reliability,Genomics,beginner,Quality control filters low-quality sequences,ˈkwɒlɪti kənˈtrəʊl,From quality + control,qual-i-ty con-trol,Primary stress on first and second words
False positive,An incorrect positive result,Genomics,intermediate,Statistical thresholds reduce false positives,fɔːls ˈpɒzɪtɪv,From false + positive,false pos-i-tive,Primary stress on second word
False negative,An incorrect negative result,Genomics,intermediate,Low coverage increases false negatives,fɔːls ˈnɛɡətɪv,From false + negative,false neg-a-tive,Primary stress on second word
Statistical significance,The likelihood that a result is not due to chance,Genomics,intermediate,P-values indicate statistical significance,stəˈtɪstɪkəl sɪɡˈnɪfɪkəns,From statistical + significance,sta-tis-ti-cal sig-nif-i-cance,Primary stress on second and third words
Correlation,A statistical relationship between variables,Genomics,intermediate,Gene expression correlation suggests co-regulation,ˌkɒrəˈleɪʃən,From correlate + -ion,cor-re-la-tion,Primary stress on third
Regression,Statistical modeling of relationships,Genomics,intermediate,Linear regression predicts expression from genotype,rɪˈɡrɛʃən,From Latin regressus (going back),re-gres-sion,Primary stress on second
Clustering,Grouping similar data points,Genomics,intermediate,Hierarchical clustering reveals expression patterns,ˈklʌstərɪŋ,From cluster + -ing,clus-ter-ing,Primary stress on first
Classification,Assignment of samples to categories,Genomics,intermediate,Machine learning enables sample classification,ˌklæsɪfɪˈkeɪʃən,From classify + -ation,clas-si-fi-ca-tion,Primary stress on fourth
Dimensionality reduction,Simplification of high-dimensional data,Genomics,advanced,PCA is a dimensionality reduction technique,dɪˌmɛnʃəˈnælɪti rɪˈdʌkʃən,From dimensionality + reduction,di-men-sion-al-i-ty re-duc-tion,Primary stress on fourth and second words
Principal component,A linear combination of variables,Genomics,advanced,Principal components capture data variation,ˈprɪnsɪpəl kəmˈpəʊnənt,From principal + component,prin-ci-pal com-po-nent,Primary stress on first and second words
Network analysis,Study of interactions between entities,Genomics,advanced,Protein interaction networks reveal cellular organization,ˈnɛtwɜːk əˈnælɪsɪs,From network + analysis,net-work a-nal-y-sis,Primary stress on first and second words
