term,domain,definition,example,synonyms,difficulty,tags,source
Epigenetics (omics context),Epigenomics,Epigenetics refers to heritable and reversible changes in gene function that do not involve alterations in the DNA sequence.,Epigenetic regulation contributes to cell-type–specific gene expression.,,Beginner,epigenomics;gene_regulation,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
DNA Methylation (omics context),Epigenomics,"DNA methylation is the covalent addition of a methyl group to DNA, typically at CpG dinucleotides, and is associated with transcriptional repression.",Aberrant DNA methylation was observed in tumor samples.,,Intermediate,epigenomics;DNA_modification,NHGRI Talking Glossary of Genetic Terms; NCBI Bookshelf – Molecular Biology of the Cell
Histone Modification (omics context),Epigenomics,Histone modifications are chemical changes to histone proteins that influence chromatin structure and gene expression.,Histone acetylation correlated with transcriptional activation.,,Intermediate,epigenomics;chromatin,Nature Reviews Molecular Cell Biology
ATAC-seq (omics context),Epigenomics,ATAC-seq is a sequencing-based assay that uses a transposase to identify regions of open chromatin genome-wide.,ATAC-seq revealed regulatory elements active in immune cells.,,Intermediate,epigenomics;assay,Nature Reviews Genetics; EMBL-EBI Training – Epigenomics
ChIP-seq (omics context),Epigenomics,ChIP-seq combines chromatin immunoprecipitation with sequencing to map protein–DNA interactions and histone modifications.,ChIP-seq identified transcription factor binding sites.,,Intermediate,epigenomics;assay,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Single-cell Omics (omics context),Single-cell Omics,"Single-cell omics encompasses technologies that profile genomic, transcriptomic, epigenomic, or proteomic features at single-cell resolution.",Single-cell omics resolved cellular heterogeneity within tumors.,,Intermediate,single_cell;omics,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Single-cell RNA sequencing (omics context),Single-cell Transcriptomics,"Single-cell RNA sequencing measures gene expression at the level of individual cells, enabling identification of distinct cell populations.",scRNA-seq identified rare immune cell subsets.,scRNA-seq,Intermediate,single_cell;transcriptomics,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Unique Molecular Identifier (omics context),Single-cell Omics,A unique molecular identifier is a short random sequence used to tag individual molecules and correct for amplification bias.,UMIs were used to deduplicate PCR artifacts.,UMI,Intermediate,single_cell;quantification,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Spatial Transcriptomics (omics context),Spatial Omics,Spatial transcriptomics refers to methods that measure gene expression while preserving spatial information within tissue sections.,Spatial transcriptomics localized gene expression to tumor margins.,,Intermediate,spatial_omics;transcriptomics,Nature Reviews Genetics; EMBL-EBI Training – Spatial Omics
Metabolomics (omics context),Metabolomics,Metabolomics is the comprehensive analysis of small-molecule metabolites in biological systems.,Metabolomics revealed alterations in energy metabolism.,,Intermediate,metabolomics;omics,Nature Reviews Molecular Cell Biology; EMBL-EBI Training – Metabolomics
Lipidomics (omics context),Lipidomics,"Lipidomics is the large-scale study of cellular lipid species, their structures, and biological functions.",Lipidomics detected changes in membrane lipid composition.,,Intermediate,lipidomics;omics,Nature Reviews Molecular Cell Biology
Glycomics (omics context),Glycomics,Glycomics is the comprehensive analysis of glycans and glycan-related structures in biological systems.,Glycomics revealed altered glycosylation patterns in cancer.,,Intermediate,glycomics;omics,Nature Reviews Molecular Cell Biology
Metagenomics (omics context),Metagenomics,Metagenomics involves sequencing and analysis of genetic material recovered directly from environmental or host-associated microbial communities.,Metagenomics characterized the gut microbial community.,,Intermediate,metagenomics;microbiome,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Microbiology
Microbiome (omics context),Microbiome,The microbiome refers to the collective genomes and activities of microorganisms inhabiting a specific environment.,Disruption of the gut microbiome was associated with disease.,,Beginner,microbiome;metagenomics,NHGRI Talking Glossary of Genetic Terms
Functional Genomics (omics context),Functional Genomics,Functional genomics aims to understand gene and protein function using high-throughput experimental approaches.,Functional genomics linked gene perturbations to phenotypes.,,Intermediate,functional_genomics,Nature Reviews Genetics
Epigenetics (omics context),Epigenomics,Epigenetics refers to heritable and reversible changes in gene function that do not involve alterations in the DNA sequence.,Epigenetic regulation contributes to cell-type–specific gene expression.,,Beginner,epigenomics;gene_regulation,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
DNA Methylation (omics context),Epigenomics,"DNA methylation is the covalent addition of a methyl group to DNA, typically at CpG dinucleotides, and is associated with transcriptional repression.",Aberrant DNA methylation was observed in tumor samples.,,Intermediate,epigenomics;DNA_modification,NHGRI Talking Glossary of Genetic Terms; NCBI Bookshelf – Molecular Biology of the Cell
Histone Modification (omics context),Epigenomics,Histone modifications are chemical changes to histone proteins that influence chromatin structure and gene expression.,Histone acetylation correlated with transcriptional activation.,,Intermediate,epigenomics;chromatin,Nature Reviews Molecular Cell Biology
ATAC-seq (omics context),Epigenomics,ATAC-seq is a sequencing-based assay that uses a transposase to identify regions of open chromatin genome-wide.,ATAC-seq revealed regulatory elements active in immune cells.,,Intermediate,epigenomics;assay,Nature Reviews Genetics; EMBL-EBI Training – Epigenomics
ChIP-seq (omics context),Epigenomics,ChIP-seq combines chromatin immunoprecipitation with sequencing to map protein–DNA interactions and histone modifications.,ChIP-seq identified transcription factor binding sites.,,Intermediate,epigenomics;assay,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Single-cell Omics (omics context),Single-cell Omics,"Single-cell omics encompasses technologies that profile genomic, transcriptomic, epigenomic, or proteomic features at single-cell resolution.",Single-cell omics resolved cellular heterogeneity within tumors.,,Intermediate,single_cell;omics,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Single-cell RNA sequencing (omics context),Single-cell Transcriptomics,"Single-cell RNA sequencing measures gene expression at the level of individual cells, enabling identification of distinct cell populations.",scRNA-seq identified rare immune cell subsets.,scRNA-seq,Intermediate,single_cell;transcriptomics,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Unique Molecular Identifier (omics context),Single-cell Omics,A unique molecular identifier is a short random sequence used to tag individual molecules and correct for amplification bias.,UMIs were used to deduplicate PCR artifacts.,UMI,Intermediate,single_cell;quantification,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Spatial Transcriptomics (omics context),Spatial Omics,Spatial transcriptomics refers to methods that measure gene expression while preserving spatial information within tissue sections.,Spatial transcriptomics localized gene expression to tumor margins.,,Intermediate,spatial_omics;transcriptomics,Nature Reviews Genetics; EMBL-EBI Training – Spatial Omics
Metabolomics (omics context),Metabolomics,Metabolomics is the comprehensive analysis of small-molecule metabolites in biological systems.,Metabolomics revealed alterations in energy metabolism.,,Intermediate,metabolomics;omics,Nature Reviews Molecular Cell Biology; EMBL-EBI Training – Metabolomics
Lipidomics (omics context),Lipidomics,"Lipidomics is the large-scale study of cellular lipid species, their structures, and biological functions.",Lipidomics detected changes in membrane lipid composition.,,Intermediate,lipidomics;omics,Nature Reviews Molecular Cell Biology
Glycomics (omics context),Glycomics,Glycomics is the comprehensive analysis of glycans and glycan-related structures in biological systems.,Glycomics revealed altered glycosylation patterns in cancer.,,Intermediate,glycomics;omics,Nature Reviews Molecular Cell Biology
Metagenomics (omics context),Metagenomics,Metagenomics involves sequencing and analysis of genetic material recovered directly from environmental or host-associated microbial communities.,Metagenomics characterized the gut microbial community.,,Intermediate,metagenomics;microbiome,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Microbiology
Microbiome (omics context),Microbiome,The microbiome refers to the collective genomes and activities of microorganisms inhabiting a specific environment.,Disruption of the gut microbiome was associated with disease.,,Beginner,microbiome;metagenomics,NHGRI Talking Glossary of Genetic Terms
Functional Genomics (omics context),Functional Genomics,Functional genomics aims to understand gene and protein function using high-throughput experimental approaches.,Functional genomics linked gene perturbations to phenotypes.,,Intermediate,functional_genomics,Nature Reviews Genetics
Epigenetics (omics context),Epigenomics,Epigenetics refers to heritable and reversible changes in gene function that do not involve alterations in the DNA sequence.,Epigenetic regulation contributes to cell-type–specific gene expression.,,Beginner,epigenomics;gene_regulation,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
DNA Methylation (omics context),Epigenomics,"DNA methylation is the covalent addition of a methyl group to DNA, typically at CpG dinucleotides, and is associated with transcriptional repression.",Aberrant DNA methylation was observed in tumor samples.,,Intermediate,epigenomics;DNA_modification,NHGRI Talking Glossary of Genetic Terms; NCBI Bookshelf – Molecular Biology of the Cell
Histone Modification (omics context),Epigenomics,Histone modifications are chemical changes to histone proteins that influence chromatin structure and gene expression.,Histone acetylation correlated with transcriptional activation.,,Intermediate,epigenomics;chromatin,Nature Reviews Molecular Cell Biology
ATAC-seq (omics context),Epigenomics,ATAC-seq is a sequencing-based assay that uses a transposase to identify regions of open chromatin genome-wide.,ATAC-seq revealed regulatory elements active in immune cells.,,Intermediate,epigenomics;assay,Nature Reviews Genetics; EMBL-EBI Training – Epigenomics
ChIP-seq (omics context),Epigenomics,ChIP-seq combines chromatin immunoprecipitation with sequencing to map protein–DNA interactions and histone modifications.,ChIP-seq identified transcription factor binding sites.,,Intermediate,epigenomics;assay,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Single-cell Omics (omics context),Single-cell Omics,"Single-cell omics encompasses technologies that profile genomic, transcriptomic, epigenomic, or proteomic features at single-cell resolution.",Single-cell omics resolved cellular heterogeneity within tumors.,,Intermediate,single_cell;omics,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Single-cell RNA sequencing (omics context),Single-cell Transcriptomics,"Single-cell RNA sequencing measures gene expression at the level of individual cells, enabling identification of distinct cell populations.",scRNA-seq identified rare immune cell subsets.,scRNA-seq,Intermediate,single_cell;transcriptomics,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Unique Molecular Identifier (omics context),Single-cell Omics,A unique molecular identifier is a short random sequence used to tag individual molecules and correct for amplification bias.,UMIs were used to deduplicate PCR artifacts.,UMI,Intermediate,single_cell;quantification,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Spatial Transcriptomics (omics context),Spatial Omics,Spatial transcriptomics refers to methods that measure gene expression while preserving spatial information within tissue sections.,Spatial transcriptomics localized gene expression to tumor margins.,,Intermediate,spatial_omics;transcriptomics,Nature Reviews Genetics; EMBL-EBI Training – Spatial Omics
Metabolomics (omics context),Metabolomics,Metabolomics is the comprehensive analysis of small-molecule metabolites in biological systems.,Metabolomics revealed alterations in energy metabolism.,,Intermediate,metabolomics;omics,Nature Reviews Molecular Cell Biology; EMBL-EBI Training – Metabolomics
Lipidomics (omics context),Lipidomics,"Lipidomics is the large-scale study of cellular lipid species, their structures, and biological functions.",Lipidomics detected changes in membrane lipid composition.,,Intermediate,lipidomics;omics,Nature Reviews Molecular Cell Biology
Glycomics (omics context),Glycomics,Glycomics is the comprehensive analysis of glycans and glycan-related structures in biological systems.,Glycomics revealed altered glycosylation patterns in cancer.,,Intermediate,glycomics;omics,Nature Reviews Molecular Cell Biology
Metagenomics (omics context),Metagenomics,Metagenomics involves sequencing and analysis of genetic material recovered directly from environmental or host-associated microbial communities.,Metagenomics characterized the gut microbial community.,,Intermediate,metagenomics;microbiome,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Microbiology
Microbiome (omics context),Microbiome,The microbiome refers to the collective genomes and activities of microorganisms inhabiting a specific environment.,Disruption of the gut microbiome was associated with disease.,,Beginner,microbiome;metagenomics,NHGRI Talking Glossary of Genetic Terms
Functional Genomics (omics context),Functional Genomics,Functional genomics aims to understand gene and protein function using high-throughput experimental approaches.,Functional genomics linked gene perturbations to phenotypes.,,Intermediate,functional_genomics,Nature Reviews Genetics
Epigenetics (omics context),Epigenomics,Epigenetics refers to heritable and reversible changes in gene function that do not involve alterations in the DNA sequence.,Epigenetic regulation contributes to cell-type–specific gene expression.,,Beginner,epigenomics;gene_regulation,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
DNA Methylation (omics context),Epigenomics,"DNA methylation is the covalent addition of a methyl group to DNA, typically at CpG dinucleotides, and is associated with transcriptional repression.",Aberrant DNA methylation was observed in tumor samples.,,Intermediate,epigenomics;DNA_modification,NHGRI Talking Glossary of Genetic Terms; NCBI Bookshelf – Molecular Biology of the Cell
Histone Modification (omics context),Epigenomics,Histone modifications are chemical changes to histone proteins that influence chromatin structure and gene expression.,Histone acetylation correlated with transcriptional activation.,,Intermediate,epigenomics;chromatin,Nature Reviews Molecular Cell Biology
ATAC-seq (omics context),Epigenomics,ATAC-seq is a sequencing-based assay that uses a transposase to identify regions of open chromatin genome-wide.,ATAC-seq revealed regulatory elements active in immune cells.,,Intermediate,epigenomics;assay,Nature Reviews Genetics; EMBL-EBI Training – Epigenomics
ChIP-seq (omics context),Epigenomics,ChIP-seq combines chromatin immunoprecipitation with sequencing to map protein–DNA interactions and histone modifications.,ChIP-seq identified transcription factor binding sites.,,Intermediate,epigenomics;assay,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Single-cell Omics (omics context),Single-cell Omics,"Single-cell omics encompasses technologies that profile genomic, transcriptomic, epigenomic, or proteomic features at single-cell resolution.",Single-cell omics resolved cellular heterogeneity within tumors.,,Intermediate,single_cell;omics,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Single-cell RNA sequencing (omics context),Single-cell Transcriptomics,"Single-cell RNA sequencing measures gene expression at the level of individual cells, enabling identification of distinct cell populations.",scRNA-seq identified rare immune cell subsets.,scRNA-seq,Intermediate,single_cell;transcriptomics,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Unique Molecular Identifier (omics context),Single-cell Omics,A unique molecular identifier is a short random sequence used to tag individual molecules and correct for amplification bias.,UMIs were used to deduplicate PCR artifacts.,UMI,Intermediate,single_cell;quantification,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Spatial Transcriptomics (omics context),Spatial Omics,Spatial transcriptomics refers to methods that measure gene expression while preserving spatial information within tissue sections.,Spatial transcriptomics localized gene expression to tumor margins.,,Intermediate,spatial_omics;transcriptomics,Nature Reviews Genetics; EMBL-EBI Training – Spatial Omics
Metabolomics (omics context),Metabolomics,Metabolomics is the comprehensive analysis of small-molecule metabolites in biological systems.,Metabolomics revealed alterations in energy metabolism.,,Intermediate,metabolomics;omics,Nature Reviews Molecular Cell Biology; EMBL-EBI Training – Metabolomics
Lipidomics (omics context),Lipidomics,"Lipidomics is the large-scale study of cellular lipid species, their structures, and biological functions.",Lipidomics detected changes in membrane lipid composition.,,Intermediate,lipidomics;omics,Nature Reviews Molecular Cell Biology
Glycomics (omics context),Glycomics,Glycomics is the comprehensive analysis of glycans and glycan-related structures in biological systems.,Glycomics revealed altered glycosylation patterns in cancer.,,Intermediate,glycomics;omics,Nature Reviews Molecular Cell Biology
Metagenomics (omics context),Metagenomics,Metagenomics involves sequencing and analysis of genetic material recovered directly from environmental or host-associated microbial communities.,Metagenomics characterized the gut microbial community.,,Intermediate,metagenomics;microbiome,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Microbiology
Microbiome (omics context),Microbiome,The microbiome refers to the collective genomes and activities of microorganisms inhabiting a specific environment.,Disruption of the gut microbiome was associated with disease.,,Beginner,microbiome;metagenomics,NHGRI Talking Glossary of Genetic Terms
Functional Genomics (omics context),Functional Genomics,Functional genomics aims to understand gene and protein function using high-throughput experimental approaches.,Functional genomics linked gene perturbations to phenotypes.,,Intermediate,functional_genomics,Nature Reviews Genetics
Epigenetics (omics context),Epigenomics,Epigenetics refers to heritable and reversible changes in gene function that do not involve alterations in the DNA sequence.,Epigenetic regulation contributes to cell-type–specific gene expression.,,Beginner,epigenomics;gene_regulation,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
DNA Methylation (omics context),Epigenomics,"DNA methylation is the covalent addition of a methyl group to DNA, typically at CpG dinucleotides, and is associated with transcriptional repression.",Aberrant DNA methylation was observed in tumor samples.,,Intermediate,epigenomics;DNA_modification,NHGRI Talking Glossary of Genetic Terms; NCBI Bookshelf – Molecular Biology of the Cell
Histone Modification (omics context),Epigenomics,Histone modifications are chemical changes to histone proteins that influence chromatin structure and gene expression.,Histone acetylation correlated with transcriptional activation.,,Intermediate,epigenomics;chromatin,Nature Reviews Molecular Cell Biology
ATAC-seq (omics context),Epigenomics,ATAC-seq is a sequencing-based assay that uses a transposase to identify regions of open chromatin genome-wide.,ATAC-seq revealed regulatory elements active in immune cells.,,Intermediate,epigenomics;assay,Nature Reviews Genetics; EMBL-EBI Training – Epigenomics
ChIP-seq (omics context),Epigenomics,ChIP-seq combines chromatin immunoprecipitation with sequencing to map protein–DNA interactions and histone modifications.,ChIP-seq identified transcription factor binding sites.,,Intermediate,epigenomics;assay,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Single-cell Omics (omics context),Single-cell Omics,"Single-cell omics encompasses technologies that profile genomic, transcriptomic, epigenomic, or proteomic features at single-cell resolution.",Single-cell omics resolved cellular heterogeneity within tumors.,,Intermediate,single_cell;omics,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Single-cell RNA sequencing (omics context),Single-cell Transcriptomics,"Single-cell RNA sequencing measures gene expression at the level of individual cells, enabling identification of distinct cell populations.",scRNA-seq identified rare immune cell subsets.,scRNA-seq,Intermediate,single_cell;transcriptomics,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
Unique Molecular Identifier (omics context),Single-cell Omics,A unique molecular identifier is a short random sequence used to tag individual molecules and correct for amplification bias.,UMIs were used to deduplicate PCR artifacts.,UMI,Intermediate,single_cell;quantification,Nature Reviews Genetics; EMBL-EBI Training – Single-cell
Spatial Transcriptomics (omics context),Spatial Omics,Spatial transcriptomics refers to methods that measure gene expression while preserving spatial information within tissue sections.,Spatial transcriptomics localized gene expression to tumor margins.,,Intermediate,spatial_omics;transcriptomics,Nature Reviews Genetics; EMBL-EBI Training – Spatial Omics
Metabolomics (omics context),Metabolomics,Metabolomics is the comprehensive analysis of small-molecule metabolites in biological systems.,Metabolomics revealed alterations in energy metabolism.,,Intermediate,metabolomics;omics,Nature Reviews Molecular Cell Biology; EMBL-EBI Training – Metabolomics
Lipidomics (omics context),Lipidomics,"Lipidomics is the large-scale study of cellular lipid species, their structures, and biological functions.",Lipidomics detected changes in membrane lipid composition.,,Intermediate,lipidomics;omics,Nature Reviews Molecular Cell Biology
Glycomics (omics context),Glycomics,Glycomics is the comprehensive analysis of glycans and glycan-related structures in biological systems.,Glycomics revealed altered glycosylation patterns in cancer.,,Intermediate,glycomics;omics,Nature Reviews Molecular Cell Biology
Metagenomics (omics context),Metagenomics,Metagenomics involves sequencing and analysis of genetic material recovered directly from environmental or host-associated microbial communities.,Metagenomics characterized the gut microbial community.,,Intermediate,metagenomics;microbiome,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Microbiology
Microbiome (omics context),Microbiome,The microbiome refers to the collective genomes and activities of microorganisms inhabiting a specific environment.,Disruption of the gut microbiome was associated with disease.,,Beginner,microbiome;metagenomics,NHGRI Talking Glossary of Genetic Terms
Functional Genomics (omics context),Functional Genomics,Functional genomics aims to understand gene and protein function using high-throughput experimental approaches.,Functional genomics linked gene perturbations to phenotypes.,,Intermediate,functional_genomics,Nature Reviews Genetics
Epigenetics (omics context),Epigenomics,Epigenetics refers to heritable and reversible changes in gene function that do not involve alterations in the DNA sequence.,Epigenetic regulation contributes to cell-type–specific gene expression.,,Beginner,epigenomics;gene_regulation,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
DNA Methylation (omics context),Epigenomics,"DNA methylation is the covalent addition of a methyl group to DNA, typically at CpG dinucleotides, and is associated with transcriptional repression.",Aberrant DNA methylation was observed in tumor samples.,,Intermediate,epigenomics;DNA_modification,NHGRI Talking Glossary of Genetic Terms; NCBI Bookshelf – Molecular Biology of the Cell
Histone Modification (omics context),Epigenomics,Histone modifications are chemical changes to histone proteins that influence chromatin structure and gene expression.,Histone acetylation correlated with transcriptional activation.,,Intermediate,epigenomics;chromatin,Nature Reviews Molecular Cell Biology
ATAC-seq (omics context),Epigenomics,ATAC-seq is a sequencing-based assay that uses a transposase to identify regions of open chromatin genome-wide.,ATAC-seq revealed regulatory elements active in immune cells.,,Intermediate,epigenomics;assay,Nature Reviews Genetics; EMBL-EBI Training – Epigenomics
ChIP-seq (omics context),Epigenomics,ChIP-seq combines chromatin immunoprecipitation with sequencing to map protein–DNA interactions and histone modifications.,ChIP-seq identified transcription factor binding sites.,,Intermediate,epigenomics;assay,NHGRI Talking Glossary of Genetic Terms; Nature Reviews Genetics
