term,definition,category,difficulty,example,phonetic,etymology,syllables,stress
Promoter,A DNA region where transcription is initiated,Genomics,intermediate,Promoters bind RNA polymerase,prəˈməʊtə,From promote + -er,pro-mo-ter,second
Plasmid,A small circular DNA molecule in bacteria,Genomics,beginner,Plasmids are used as vectors in genetic engineering,ˈplæzmɪd,From plasma + -id,plas-mid,first
Primer,A short DNA sequence initiating replication,Genomics,beginner,PCR primers flank the target DNA region,ˈpraɪmə,From prime + -er,prim-er,first
Polymerase,An enzyme that synthesizes polynucleotide chains,Genomics,intermediate,DNA polymerase replicates the genome,pəˈlɪməreɪz,From polymer + -ase,po-ly-mer-ase,second
Methylation,The addition of methyl groups to DNA,Epigenomics,intermediate,DNA methylation regulates gene expression,ˌmɛθɪˈleɪʃən,From methyl + -ation,meth-yl-a-tion,third
Chromatin,The complex of DNA and proteins in nucleus,Epigenomics,intermediate,Chromatin structure affects gene accessibility,ˈkrəʊmətɪn,From Greek chroma,chro-ma-tin,first
Histone,A protein around which DNA wraps,Epigenomics,intermediate,Histone modifications regulate chromatin structure,ˈhɪstəʊn,From Greek histos,his-tone,first
Transcription,The synthesis of RNA from a DNA template,Transcriptomics,beginner,Transcription is the first step of gene expression,trænˈskrɪpʃən,From transcribe + -ion,tran-scrip-tion,second
Translation,The synthesis of protein from mRNA,Proteomics,beginner,Translation occurs at ribosomes,trænzˈleɪʃən,From translate + -ion,trans-la-tion,second
Ribosome,A cellular structure that synthesizes proteins,Proteomics,beginner,Ribosomes read mRNA codons to build proteins,ˈraɪbəsəʊm,From ribose + -some,ri-bo-some,first
MicroRNA,Small regulatory RNA molecules,Transcriptomics,intermediate,MicroRNAs regulate gene expression,ˈmaɪkrəʊ ɑːr en eɪ,From micro + RNA,mi-cro R-N-A,first
Splicing,The removal of introns from pre-mRNA,Transcriptomics,intermediate,Alternative splicing generates protein diversity,ˈsplaɪsɪŋ,From splice + -ing,splic-ing,first
Metabolism,The sum of chemical reactions in an organism,Metabolomics,beginner,Metabolism includes anabolism and catabolism,məˈtæbəlɪzəm,From Greek metabole,me-tab-o-lism,second
Enzyme,A biological catalyst,Metabolomics,beginner,Enzymes accelerate biochemical reactions,ˈɛnzaɪm,From Greek en + zyme,en-zyme,first
Substrate,The molecule upon which an enzyme acts,Metabolomics,beginner,Substrate specificity determines enzyme function,ˈsʌbstreɪt,From Latin substratum,sub-strate,first
Cofactor,A non-protein molecule required for enzyme activity,Metabolomics,intermediate,Metal ions often serve as cofactors,ˈkəʊfæktə,From co- + factor,co-fac-tor,first
Peptide,A short chain of amino acids,Proteomics,beginner,Peptides are building blocks of proteins,ˈpɛptaɪd,From Greek peptos,pep-tide,first
Domain,A distinct functional unit within a protein,Proteomics,intermediate,Protein domains can function independently,dəʊˈmeɪn,From Latin dominium,do-main,second
Phosphorylation,Addition of phosphate groups to molecules,Proteomics,intermediate,Protein phosphorylation regulates signaling,ˌfɒsfərɪˈleɪʃən,From phosphoryl + -ation,phos-phor-yl-a-tion,fourth
Antibody,A protein that recognizes and binds antigens,Proteomics,beginner,Antibodies are used in many proteomics methods,ˈæntɪbɒdi,From anti- + body,an-ti-bod-y,first
Chromatography,Separation technique based on molecular properties,Proteomics,intermediate,Liquid chromatography separates complex mixtures,ˌkrəʊməˈtɒɡrəfi,From Greek chroma + -graphy,chro-ma-tog-ra-phy,third
Electrophoresis,Separation of molecules in an electric field,Proteomics,intermediate,Gel electrophoresis separates DNA by size,ɪˌlɛktrəʊfəˈriːsɪs,From electro- + phoresis,e-lec-tro-pho-re-sis,fourth
Normalization,Adjustment for technical variation,Genomics,intermediate,Expression normalization enables sample comparison,ˌnɔːməlaɪˈzeɪʃən,From normal + -ization,nor-mal-i-za-tion,fourth
Replication,Repetition of experiments,Genomics,beginner,Biological replication confirms reproducibility,ˌrɛplɪˈkeɪʃən,From replicate + -ion,rep-li-ca-tion,third
Validation,Confirmation of results using independent methods,Genomics,intermediate,qPCR validates RNA-seq findings,ˌvælɪˈdeɪʃən,From valid + -ation,val-i-da-tion,third
Contamination,The presence of unwanted material in samples,Genomics,intermediate,DNA contamination can compromise results,kənˌtæmɪˈneɪʃən,From contaminate + -ion,con-tam-i-na-tion,fourth
